
ETD     ,VESSELNAME,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,----------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------
20230114,          ,KR ,A226789KRSEL        ,HANSAN COMPANY                                    ,THE BABCOCK & WILCOX COMPANY                      ,SHIP TO:                                          ,BABCOCK & WILCOX COMPANY                          ,CHRCLE
20230114,          ,KR ,A226799KRSEL        ,HJ CORP.                                          ,SAFE REFLECTIONS INC.                             ,SAME AS CONSIGNEE                                 ,SAFE REFLECTIONS INC.                             ,CHRMSP
20230114,          ,KR ,A226800KRSEL        ,ARUM                                              ,AXSYS INCORPORATED                                ,SAME AS CONSIGNEE                                 ,AXSYS INCORPORATED                                ,CHRDTW
20230114,          ,KR ,A226784KRSEL        ,GUM YOUNG GENERAL CO.  LTD.                       ,HOLLISTER-WHITNEY ELEVATOR CO.  LLC               ,SAME AS CONSIGNEE                                 ,HOLLISTER-WHITNEY ELEVATOR CO.  LLC               ,CHRNYC
20230114,          ,KR ,A226802KRSEL        ,INTERCOS KOREA INC.                               ,HAUS LABORATORIES                                 ,SAME AS ABOVE                                     ,HAUS LABS                                         ,CHRCHI
20230114,          ,KR ,A226798KRSEL        ,FINE M-TEC CO.  LTD                               ,EBW ELECTRONICS  INC.                             ,SAME AS CONSIGNEE                                 ,EBW ELECTRONICS  INC.                             ,CHRDTW
20230114,          ,US ,422772691MSP        ,CARGILL  INCORPORATED                             ,NAM YUNG COMMERCIAL CO LTD                        ,NAM YUNG COMMERCIAL CO LTD                        ,                                                  ,CHRMSP
20230114,          ,ES ,BIOAE2300023        ,BOMBAS AZCUE SA                                   ,HYUNDAI SAMHO HEAVY INDUSTRIES CO.                ,HYUNDAI SAMHO HEAVY INDUSTRIES CO.                ,                                                  ,ASP004
20230114,          ,KR ,A226803KRSEL        ,SH SOLUTION                                       ,CEMAS ELETTRA S.R.L                               ,SAME AS CONSIGNEE                                 ,                                                  ,CHRCES
20230114,          ,US ,423249912LAX        ,Varian Medical Systems Palo Alto                  ,VARIAN MEDICAL SYSTEMS KOREA INC.                 ,VARIAN MEDICAL SYSTEMS KOREA INC.                 ,                                                  ,
20230114,          ,US ,423249904LAX        ,Varian Medical Systems Palo Alto                  ,VARIAN MEDICAL SYSTEMS KOREA INC.                 ,VARIAN MEDICAL SYSTEMS KOREA INC.                 ,                                                  ,
