
ETD     ,VESSELNAME,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,----------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------
20230122,          ,KR ,A226764KRSEL        ,KYUNGSHIN CORPORATION                             ,HONDURAS ELECTRICAL DISTRIBUTION SYSTEMS(HEDS)    ,SAME AS CONSIGNEE                                 ,KYUNGSHIN CORPORATION                             ,PHXK
20230122,          ,KR ,A226766KRSEL        ,KYUNGSHIN CORPORATION                             ,HONDURAS ELECTRICAL DISTRIBUTION SYSTEMS(HEDS)    ,SAME AS CONSIGNEE                                 ,KYUNGSHIN CORPORATION                             ,PHXK
20230122,          ,KR ,A226808KRSEL        ,PILLIP INDUSTRIAL CO.  LTD.                       ,ENVIRON SKIN CARE CC.                             ,ENVIRON SKIN CARE CC.                             ,PILLIP INDUSTRIAL CO.  LTD.                       ,PHXK
20230122,          ,KR ,A226806KRSEL        ,SAEHAN CORPORATION                                ,REHAB EUROPA S.L.                                 ,REHAB MEDIC-ALMACEN ZARAGOZA                      ,REHAB EUROPA S.L.                                 ,ASP004
20230122,          ,KR ,A226741KRSEL        ,REMOTE SOLUTION CO. LTD                           ,SNAP ONE LLC                                      ,SHIP TO: SNAP ONE LLC                             ,CONTROL4                                          ,CHRCLT
20230122,          ,KR ,A226811KRSEL        ,LS ELECTRIC CO.  LTD.                             ,POWER ELECTRONICS ESPANA  S.L.                    ,POWER ELECTRONICS ESPANA  S.L.                    ,                                                  ,ASP004
20230122,          ,US ,423693755LAX        ,Varian Medical Systems Palo Alto                  ,VARIAN MEDICAL SYSTEMS KOREA INC.                 ,VARIAN MEDICAL SYSTEMS KOREA INC.                 ,                                                  ,
20230122,          ,US ,422656599STL        ,SKF USA INC                                       ,SKF KOREA LTD.                                    ,SKF KOREA LTD.                                    ,                                                  ,CHRSTL
20230122,          ,US ,1050733403          ,HILLS PET NUTRITION SALES INC EXP                 ,HILLS PET NUTRITION KOREA                         ,HILLS PET NUTRITION KOREA                         ,                                                  ,
20230122,          ,US ,1050732997          ,HILLS PET NUTRITION SALES INC EXP                 ,HILLS PET NUTRITION KOREA                         ,HILLS PET NUTRITION KOREA                         ,                                                  ,
